1000 Maniacs 	 Our Time in Eden 	 Candy Everybody Wants 
White Zombie 	 Astro-Creep 	 I, Zombie 
White Zombie 	 Astro-Creep 	 More Human Than Human 
White Zombie 	 Astro-Creep 	 El Phantasmo And The Chicken-Run Blast-O-Rama 
White Zombie 	 Astro-Creep 	 Blur The Technicolor 
White Zombie 	 Astro-Creep 	 Blood, Milk And Sky 
Wishbone Ash 	 Argus 	 Time Was 
Wishbone Ash 	 Argus 	 Sometime World 
Wishbone Ash 	 Argus 	 Blowin' Free 
Wishbone Ash 	 Argus 	 The King Will Come 
Wishbone Ash 	 Argus 	 Leaf And Stream 
Wishbone Ash 	 Argus 	 Warrior 
Wishbone Ash 	 Argus 	 Throw Down The Sword 
Wishbone Ash 	 Argus 	 Jail Bait (Live from Memphis 21-08-1972) 
Wishbone Ash 	 Argus 	 The Pilgrim (Live from Memphis 21-08-1972) 
Wishbone Ash 	 Argus 	 Phoenix (Live from Memphis 21-08-1972) 
Wishbone Ash 	 Keeper Of The Light [Live In Chicago] 	 The King Will Come 
Wishbone Ash 	 Keeper Of The Light [Live In Chicago] 	 Strange Affair 
Wishbone Ash 	 Keeper Of The Light [Live In Chicago] 	 Standing In The Rain 
Wishbone Ash 	 Keeper Of The Light [Live In Chicago] 	 Lost Cause In Paradise 
Wishbone Ash 	 Keeper Of The Light [Live In Chicago] 	 Keeper Of The Light 
Wishbone Ash 	 Keeper Of The Light [Live In Chicago] 	 Throw Down The Sword 
Wishbone Ash 	 Keeper Of The Light [Live In Chicago] 	 In The Skin 
Wishbone Ash 	 Keeper Of The Light [Live In Chicago] 	 Why Don't We 
Wishbone Ash 	 Keeper Of The Light [Live In Chicago] 	 Hard Times 
Wishbone Ash 	 Keeper Of The Light [Live In Chicago] 	 Blowing Free 
Wishbone Ash 	 Keeper Of The Light [Live In Chicago] 	 Living Proof 
Wishbone Ash 	 Wishbone Four 	 So Many Things To Say 
Wishbone Ash 	 Wishbone Four 	 Ballad of The Beacon 
Wishbone Ash 	 Wishbone Four 	 No Easy Road 
Wishbone Ash 	 Wishbone Four 	 Everybody Needs a Friend 
Wishbone Ash 	 Wishbone Four 	 Doctor 
Wishbone Ash 	 Wishbone Four 	 Sorrel 
Wishbone Ash 	 Wishbone Four 	 Sing Out the Song 
Wishbone Ash 	 Wishbone Four 	 Rock 'n Roll Widow 
Yardbirds 	 The Very Best of the Yardbirds 	 For Your Love 
Yardbirds 	 The Very Best of the Yardbirds 	 Heart Full of Soul 
Yardbirds 	 The Very Best of the Yardbirds 	 Good Morning Little Schoolgirl 
Yardbirds 	 The Very Best of the Yardbirds 	 Still I'm Sad 
Yardbirds 	 The Very Best of the Yardbirds 	 Evil Hearted You 
Yardbirds 	 The Very Best of the Yardbirds 	 A Certain Girl 
Yardbirds 	 The Very Best of the Yardbirds 	 Jeff's Blues 
Yardbirds 	 The Very Best of the Yardbirds 	 I Wish You Would 
Yardbirds 	 The Very Best of the Yardbirds 	 New York City 
Yardbirds 	 The Very Best of the Yardbirds 	 I'm not Talking 
Yardbirds 	 The Very Best of the Yardbirds 	 You're a Better Man Than I 
Yardbirds 	 The Very Best of the Yardbirds 	 Shapes of Things 
Yardbirds 	 The Very Best of the Yardbirds 	 I'm a Man 
Yardbirds 	 The Very Best of the Yardbirds 	 Boom Boom 
Yardbirds 	 The Very Best of the Yardbirds 	 Smokestack Lightning (Live) 
Yardbirds 	 The Very Best of the Yardbirds 	 Let it Rock (Live) 
Yardbirds 	 The Very Best of the Yardbirds 	 You Can't Judge a Book by its Cover 
Yardbirds 	 The Very Best of the Yardbirds 	 Who Do You Love (Live) 
Yardbirds 	 The Very Best of the Yardbirds 	 Too Much Monkey Business (Live) 
Yardbirds 	 The Very Best of the Yardbirds 	 Respectable (Live) 
Yardbirds 	 The Very Best of the Yardbirds 	 Pretty Girl (Live) 
Yardbirds 	 The Very Best of the Yardbirds 	 Stroll On 
Yngwie Malmsteen 	 Rising Force 	 Black Star 
Yngwie Malmsteen 	 Rising Force 	 Far Beyond The Sun 
Yngwie Malmsteen 	 Rising Force 	 Now Your Ships Are Burned 
Yngwie Malmsteen 	 Rising Force 	 Evil Eye 
Yngwie Malmsteen 	 Rising Force 	 Icarus Dream Suite Opus 4 
Yngwie Malmsteen 	 Rising Force 	 As Above So Below 
Yngwie Malmsteen 	 Rising Force 	 Little Savage 
Yngwie Malmsteen 	 Rising Force 	 Farewell 
ZZ Top 	 Rio Grande Mud 	 Francine 
ZZ Top 	 Rio Grande Mud 	 Just Got Paid 
ZZ Top 	 Rio Grande Mud 	 Mushmouth Shoutin 
ZZ Top 	 Rio Grande Mud 	 Ko Ko Blue 
ZZ Top 	 Rio Grande Mud 	 Chevrolet 
ZZ Top 	 Rio Grande Mud 	 Apologies To Pearly 
ZZ Top 	 Rio Grande Mud 	 Bar-B-Q 
ZZ Top 	 Rio Grande Mud 	 Sure Got Cold After The Rain Fell 
ZZ Top 	 Rio Grande Mud 	 Whiskey'n Mama 
ZZ Top 	 Rio Grande Mud 	 Down Brownie 
ZZ Top 	 Tres Hombres 	 Waitin' For The Bus 
ZZ Top 	 Tres Hombres 	 Jesus Just Left Chicago 
ZZ Top 	 Tres Hombres 	 Beer Drinkers & Hell Raisers 
ZZ Top 	 Tres Hombres 	 Master Of Sparks 
ZZ Top 	 Tres Hombres 	 Hot, Blue And Righteous 
ZZ Top 	 Tres Hombres 	 Move Me On Down The Line 
ZZ Top 	 Tres Hombres 	 Precious And Grace 
ZZ Top 	 Tres Hombres 	 La Grange 
ZZ Top 	 Tres Hombres 	 Sheik 
ZZ Top 	 Tres Hombres 	 Have You Heard 
ZZ Top 	 Tres Hombres 	 Waitin' For The Bus (Live) (Bonus) 
ZZ Top 	 Tres Hombres 	 Jesus Just Left Chicago (Live) (Bonus) 
ZZ Top 	 Tres Hombres 	 La Grange (Live) (Bonus) 
ZZ Top 	 Degüello 	 I Thank You 
ZZ Top 	 Degüello 	 She Loves My Automobile 
ZZ Top 	 Degüello 	 I'm Bad I'm Nationwide 
ZZ Top 	 Degüello 	 A Fool For Your Stockings 
ZZ Top 	 Degüello 	 Manic Mechanic 
ZZ Top 	 Degüello 	 Dust My Broom 
ZZ Top 	 Degüello 	 Lowdown In The Street 
ZZ Top 	 Degüello 	 Hi Fi Mama 
ZZ Top 	 Degüello 	 Cheap Sunglasses 
ZZ Top 	 Degüello 	 Esther Be The One 
ZZ Top 	 Recycler 	 Concrete And Steel 
ZZ Top 	 Recycler 	 Lovething 
ZZ Top 	 Recycler 	 Penthouse Eyes 
ZZ Top 	 Recycler 	 Tell It 
ZZ Top 	 Recycler 	 My Head's In Mississippi 
ZZ Top 	 Recycler 	 Decision Or Collision 
ZZ Top 	 Recycler 	 Give It Up 
ZZ Top 	 Recycler 	 2000 Blues 
ZZ Top 	 Recycler 	 Burger Man 
ZZ Top 	 Recycler 	 Doubleback 
ZZ Top 	 Antenna 	 Pincushion 
ZZ Top 	 Antenna 	 Breakaway 
ZZ Top 	 Antenna 	 World Of Swirl 
ZZ Top 	 Antenna 	 Fuzzbox Voodoo 
ZZ Top 	 Antenna 	 Girl In A T-Shirt 
ZZ Top 	 Antenna 	 Antenna Head 
ZZ Top 	 Antenna 	 PCH 
ZZ Top 	 Antenna 	 Cherry Red 
ZZ Top 	 Antenna 	 Cover Your Rig 
ZZ Top 	 Antenna 	 Lizard Life 
ZZ Top 	 Antenna 	 Deal Goin' Down 
ZZ Top 	 Antenna 	 Everything 
ZZ Top 	 Mescalero 	 Mescalero 
ZZ Top 	 Mescalero 	 Two Ways To Play 
ZZ Top 	 Mescalero 	 Alley-gator 
ZZ Top 	 Mescalero 	 Buck Nekkid 
ZZ Top 	 Mescalero 	 Goin' So Good 
ZZ Top 	 Mescalero 	 Me So Stupid 
ZZ Top 	 Mescalero 	 Piece 
ZZ Top 	 Mescalero 	 Punk Ass Boyfriend 
ZZ Top 	 Mescalero 	 Stackin' Paper 
ZZ Top 	 Mescalero 	 What Would You Do 
ZZ Top 	 Mescalero 	 What It Is Kid 
ZZ Top 	 Mescalero 	 Que Lastima 
ZZ Top 	 Mescalero 	 Tramp 
ZZ Top 	 Mescalero 	 Crunchy 
ZZ Top 	 Mescalero 	 Dusted 
ZZ Top 	 Mescalero 	 Liquor 
